id;institutionId;name;description;documentsRequired;executionTime;cost;notes
1;1;"Реєстрація місця проживання";"Послуга з реєстрації місця проживання громадянина.";"Паспорт, ІПН, заява";"1-3 дні";"Безкоштовно";"Подання здійснюється особисто."
2;1;"Видача довідки про склад сім’ї";"Отримання довідки про склад сім’ї.";"Паспорт, заява";"1 день";"Безкоштовно";"Можлива попередня електронна черга."
3;3;"Призначення пенсії за віком";"Оформлення пенсійних виплат за віком.";"Паспорт, трудова книжка, ІПН";"до 10 днів";"Безкоштовно";"Потрібна повна перевірка документів."
4;2;"Подання електронного звернення";"Подання звернення до міської ради.";"ПІБ, текст звернення, контакти";"до 30 днів";"Безкоштовно";"Можна подати онлайн."
5;1;"Реєстрація місця перебування";"Оформлення тимчасової реєстрації місця перебування.";"Паспорт, заява, документ на житло";"1-3 дні";"Безкоштовно";"Подання за місцем звернення."
6;1;"Видача витягу з реєстру територіальної громади";"Надання офіційного витягу з реєстру територіальної громади.";"Паспорт, заява";"1 день";"Безкоштовно";"Можливе отримання через ЦНАП."
7;1;"Надання дозволу на розміщення зовнішньої реклами";"Оформлення дозвільних документів на рекламні конструкції.";"Заява, схема розміщення, ескіз";"до 10 днів";"Платно";"Розмір оплати залежить від типу реклами."
8;2;"Розгляд письмового звернення громадян";"Прийом та опрацювання письмових звернень.";"Заява або звернення";"до 30 днів";"Безкоштовно";"Можна подати поштою або особисто."
9;2;"Запис на особистий прийом до посадових осіб";"Організація прийому громадян представниками міської ради.";"Паспорт, короткий зміст питання";"1 день";"Безкоштовно";"Попередній запис обов'язковий."
10;2;"Надання інформації за запитом";"Надання публічної інформації на запит громадянина.";"Інформаційний запит";"до 5 днів";"Безкоштовно";"У складних випадках термін може бути продовжено."
11;3;"Перерахунок пенсії";"Оновлення розміру пенсійних виплат згідно з чинним законодавством.";"Паспорт, пенсійне посвідчення, заява";"до 10 днів";"Безкоштовно";"Проводиться після перевірки документів."
12;3;"Видача довідки про розмір пенсії";"Надання довідки для подання в інші установи.";"Паспорт, пенсійне посвідчення";"1-2 дні";"Безкоштовно";"Можливе особисте отримання."
13;3;"Призначення допомоги на поховання пенсіонера";"Оформлення одноразової допомоги у зв'язку зі смертю пенсіонера.";"Свідоцтво про смерть, паспорт заявника, заява";"до 5 днів";"Безкоштовно";"Потрібні оригінали документів."
14;4;"Отримання довідки про відсутність заборгованості";"Видача довідки про стан податкових розрахунків.";"Заява, ІПН";"до 5 днів";"Безкоштовно";"Для фізичних та юридичних осіб."
15;4;"Подання декларації про майновий стан";"Прийом податкових декларацій від громадян.";"Паспорт, ІПН, декларація";"1 день";"Безкоштовно";"Можливе електронне подання."
16;4;"Реєстрація РРО/ПРРО";"Оформлення реєстрації касової техніки.";"Заява, реєстраційні документи";"до 3 днів";"Безкоштовно";"Послуга для суб'єктів господарювання."
17;5;"Призначення житлової субсидії";"Оформлення державної житлової субсидії.";"Паспорт, ІПН, декларація про доходи, заява";"до 10 днів";"Безкоштовно";"Рішення приймається після перевірки відомостей."
18;5;"Призначення допомоги при народженні дитини";"Оформлення державної допомоги сім'ям з дітьми.";"Свідоцтво про народження, паспорт, ІПН, заява";"до 10 днів";"Безкоштовно";"Можлива подача через ЦНАП."
19;5;"Оформлення статусу малозабезпеченої сім'ї";"Прийом документів для надання статусу та виплат.";"Паспорт, ІПН, довідки про доходи, заява";"до 10 днів";"Безкоштовно";"Потрібен повний пакет документів."
20;6;"Реєстрація народження";"Оформлення державної реєстрації народження дитини.";"Медичне свідоцтво, паспорти батьків";"1 день";"Безкоштовно";"Свідоцтво видається в день звернення."
21;6;"Реєстрація шлюбу";"Прийом заяв та реєстрація шлюбу.";"Паспорти, заява";"від 1 дня до 1 місяця";"Платно";"Можлива урочиста церемонія."
22;6;"Реєстрація смерті";"Оформлення акту цивільного стану про смерть.";"Медичне свідоцтво про смерть, паспорт заявника";"1 день";"Безкоштовно";"Свідоцтво видається одразу."
23;7;"Реєстрація безробітного";"Взяття особи на облік як безробітної.";"Паспорт, ІПН, трудова книжка, диплом";"1 день";"Безкоштовно";"Необхідна особиста присутність."
24;7;"Підбір вакансій";"Надання інформації про актуальні вакансії.";"Паспорт";"У день звернення";"Безкоштовно";"Підбір здійснюється індивідуально."
25;7;"Скерування на професійне навчання";"Оформлення участі в програмах перекваліфікації.";"Паспорт, документи про освіту, заява";"до 7 днів";"Безкоштовно";"За наявності відповідних програм."
26;8;"Прийом заяви про правопорушення";"Реєстрація звернень щодо вчинення правопорушень.";"Паспорт, письмова або усна заява";"У день звернення";"Безкоштовно";"Можна звернутись цілодобово."
27;8;"Видача довідки про несудимість";"Прийом заяв та оформлення довідки про відсутність судимості.";"Паспорт, ІПН";"до 10 днів";"Безкоштовно";"Можливе замовлення через електронні сервіси."
28;8;"Прийом звернень громадян";"Розгляд скарг та заяв громадян.";"Письмове звернення, паспорт";"до 30 днів";"Безкоштовно";"Звернення реєструється в установленому порядку."
29;9;"Видача розпоряджень та довідкової інформації";"Надання громадянам та організаціям офіційної інформації.";"Запит, посвідчення особи";"до 5 днів";"Безкоштовно";"Для звернень до ОДА."
30;9;"Погодження регіональних програм";"Приймання документів щодо участі у регіональних програмах.";"Заява, пакет супровідних документів";"до 15 днів";"Безкоштовно";"Для установ та організацій."
31;10;"Запис до сімейного лікаря";"Реєстрація пацієнта на прийом до лікаря.";"Паспорт, декларація з лікарем";"У день звернення";"Безкоштовно";"Запис можливий телефоном."
32;10;"Отримання довідки про стан здоров'я";"Видача довідки для подання за місцем вимоги.";"Паспорт, медична карта";"1-2 дні";"Платно";"Вартість залежить від форми довідки."
33;10;"Проходження профілактичного огляду";"Організація планового медичного огляду.";"Паспорт, направлення";"1 день";"Платно";"За попереднім записом."
34;11;"Реєстрація транспортного засобу";"Постановка транспортного засобу на облік.";"Паспорт, ІПН, документи на авто";"1 день";"Платно";"Необхідний огляд транспортного засобу."
35;11;"Обмін посвідчення водія";"Оформлення нового посвідчення водія.";"Паспорт, ІПН, старе посвідчення, медична довідка";"1 день";"Платно";"За попереднім записом."
36;11;"Видача номерних знаків";"Оформлення та видача державних номерних знаків.";"Документи на авто, квитанція";"У день звернення";"Платно";"Видаються після реєстрації."
37;12;"Прийом звернень щодо зарахування до школи";"Консультації та прийом документів щодо вступу до закладів освіти.";"Заява, свідоцтво про народження, довідка";"до 5 днів";"Безкоштовно";"Для батьків та опікунів."
38;12;"Надання інформації про мережу закладів освіти";"Інформування про школи, ліцеї, садки та наявність місць.";"Запит";"1 день";"Безкоштовно";"Може надаватись телефоном."
39;12;"Розгляд звернень щодо освітнього процесу";"Опрацювання скарг та пропозицій у сфері освіти.";"Письмове звернення";"до 30 днів";"Безкоштовно";"Розгляд у визначені законом строки."
40;13;"Постановка на військовий облік";"Оформлення взяття громадянина на військовий облік.";"Паспорт, ІПН, приписне або військовий квиток";"до 5 днів";"Безкоштовно";"Особиста присутність обов'язкова."
41;13;"Видача довідки про перебування на військовому обліку";"Надання офіційної довідки для подання за місцем вимоги.";"Паспорт";"1-3 дні";"Безкоштовно";"Видається за запитом."
42;13;"Уточнення облікових даних";"Оновлення персональних даних військовозобов'язаного.";"Паспорт, військово-облікові документи";"1 день";"Безкоштовно";"При зміні адреси, освіти або місця роботи."
43;14;"Оформлення паспорта громадянина України ID-картки";"Прийом документів для оформлення ID-картки.";"Свідоцтво про народження або попередній паспорт, ІПН";"до 20 днів";"Платно";"Можливе термінове оформлення."
44;14;"Оформлення закордонного паспорта";"Прийом документів для оформлення паспорта для виїзду за кордон.";"Паспорт, ІПН, квитанція";"до 20 днів";"Платно";"Термінове оформлення оплачується окремо."
45;14;"Реєстрація місця проживання іноземця";"Оформлення документів для іноземних громадян.";"Паспортний документ, посвідка, заява";"до 5 днів";"Платно";"Необхідні дійсні документи."
46;15;"Надання первинної правової консультації";"Консультування громадян з правових питань.";"Паспорт";"У день звернення";"Безкоштовно";"Консультація надається юристом центру."
47;15;"Складання процесуальних документів";"Допомога у підготовці заяв, скарг та інших документів.";"Паспорт, документи по справі";"до 3 днів";"Безкоштовно";"Для осіб, які мають право на таку допомогу."
48;15;"Представництво інтересів у суді";"Організація вторинної правової допомоги в судових справах.";"Паспорт, підтверджуючі документи";"за процедурою";"Безкоштовно";"Надається за наявності законних підстав."
